,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
0,1,178.0,0.0,USA,237000000.0,760505847.0,886204,3054.0,723.0,33000,0.0,1000.0,936.0,855.0,4834,7.9,Good
1,2,169.0,0.0,USA,300000000.0,309404152.0,471220,1238.0,302.0,0,563.0,40000.0,5000.0,1000.0,48350,7.1,Good
2,3,148.0,1.0,UK,245000000.0,200074175.0,275868,994.0,602.0,85000,0.0,11000.0,393.0,161.0,11700,6.8,Good
3,4,164.0,0.0,USA,250000000.0,448130642.0,1144337,2701.0,813.0,164000,22000.0,27000.0,23000.0,23000.0,106759,8.5,Excellent
4,5,132.0,1.0,USA,263700000.0,73058679.0,212204,738.0,462.0,24000,475.0,640.0,632.0,530.0,1873,6.6,Good
5,6,156.0,0.0,USA,258000000.0,336530303.0,383056,1902.0,392.0,0,0.0,24000.0,11000.0,4000.0,46055,6.2,Good
6,7,100.0,1.0,USA,260000000.0,200807262.0,294810,387.0,324.0,29000,15.0,799.0,553.0,284.0,2036,7.8,Good
7,8,141.0,4.0,USA,250000000.0,458991599.0,462669,1117.0,635.0,118000,0.0,26000.0,21000.0,19000.0,92000,7.5,Good
8,9,153.0,3.0,UK,250000000.0,301956980.0,321795,973.0,375.0,10000,282.0,25000.0,11000.0,10000.0,58753,7.5,Good
9,10,183.0,0.0,USA,250000000.0,330249062.0,371639,3018.0,673.0,197000,0.0,15000.0,4000.0,2000.0,24450,6.9,Good
10,11,169.0,0.0,USA,209000000.0,200069408.0,240396,2367.0,434.0,0,0.0,18000.0,10000.0,903.0,29991,6.1,Good
11,12,106.0,1.0,UK,200000000.0,168368427.0,330784,1243.0,403.0,0,395.0,451.0,412.0,393.0,2023,6.7,Good
12,13,151.0,2.0,USA,225000000.0,423032628.0,522040,1832.0,313.0,5000,563.0,40000.0,5000.0,1000.0,48486,7.3,Good
13,14,150.0,1.0,USA,215000000.0,89289910.0,181792,711.0,450.0,48000,563.0,40000.0,2000.0,1000.0,45757,6.5,Good
